title,genres,director,actor1,actor2,actor3,comb
vivarium,Science Fiction Horror Mystery,Lorcan Finnegan,,Jesse Eisenberg,, Jesse Eisenberg  Lorcan Finnegan Science Fiction Horror Mystery
coffee & kareem,Comedy Action Crime,Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy Action Crime
trolls world tour,Animation Family Comedy Fantasy Adventure Music,Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Animation Family Comedy Fantasy Adventure Music
love wedding repeat,Comedy Romance,Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy Romance
the main event,Family Comedy,Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Seth Carr Tichina Arnold Ken Marino Jay Karas Family Comedy
we summon the darkness,Horror Thriller,Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror Thriller
the lost husband,Romance Drama,Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Romance Drama
corona zombies,Horror Comedy,Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror Comedy
sergio,Drama,Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
the willoughbys,Animation Comedy Family,Kris Pearn,Mark Stanleigh (screenplay); Will Forte,Maya Rudolph,Alessia Cara,Mark Stanleigh (screenplay); Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation Comedy Family
extraction,Drama Action Thriller,Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama Action Thriller
braking for whales,Drama Comedy,Sean McEwen,Tammin Sursok (screenplay); Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Tammin Sursok (screenplay); Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama Comedy
